CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-001599,Manhattan,107,7,40.801084,-73.967707,Link Active!,134073,2756 Broadway,10025,mn-07-134073,10/27/2017,09/16/2017,Upper West Side,1056626,1018770051,1019100,"(40.801084, -73.967707)"
LINK-001600,Manhattan,107,7,40.802126,-73.967493,Link Active!,120402,249 West 107 Street,10025,mn-07-120402,07/08/2016,05/20/2016,Morningside Heights,1056647,1018790001,1019500,"(40.802126, -73.967493)"
LINK-001601,Manhattan,107,7,40.802298,-73.967585,Link Active!,134388,2780 Broadway,10025,mn-07-134388,10/16/2017,05/09/2017,Morningside Heights,1056647,1018790001,1019500,"(40.802298, -73.967585)"
LINK-001602,Manhattan,107,6,40.802455,-73.968149,Link Active!,120266,2781 Broadway,10025,mn-07-120266,07/01/2016,05/20/2016,Morningside Heights,1057283,1018920045,1019500,"(40.802455, -73.968149)"
LINK-001603,Manhattan,107,7,40.802736,-73.967461,Link Active!,134069,2794 Broadway,10025,mn-07-134069,10/12/2017,07/28/2017,Morningside Heights,1056672,1018790061,1019500,"(40.802736, -73.967461)"
LINK-001604,Manhattan,107,7,40.802944,-73.967379,Link Active!,120401,2800 Broadway,10025,mn-07-120401,07/20/2016,06/11/2016,Morningside Heights,1056673,1018800001,1019500,"(40.802944, -73.967379)"
LINK-001605,Manhattan,107,7,40.803721,-73.967381,Link Active!,120268,301 West 109st,10025,mn-07-120268,06/29/2016,06/17/2016,Morningside Heights,1057315,1018930043,1019500,"(40.803721, -73.967381)"
LINK-001606,Manhattan,107,7,40.803861,-73.966708,Link Active!,134385,2828 BROADWAY,10025,mn-07-134385,10/12/2017,06/27/2017,Morningside Heights,1086018,1018810003,1019500,"(40.80386123, -73.96670754)"
LINK-001609,Manhattan,109,7,40.804959,-73.965902,Link Active!,134377,2868 Broadway,10025,mn-09-134377,08/18/2017,07/18/2017,Morningside Heights,1075433,1018837501,1019900,"(40.80495915, -73.9659025)"
LINK-001610,Manhattan,109,7,40.805280,-73.965670,Link Active!,134690,2878 Broadway,10025,mn-09-134690,11/03/2017,09/25/2017,Morningside Heights,1056988,1018830059,1019900,"(40.80527964, -73.96566952)"
